"id";"choices";"label";"question";"init";"speech";"emotion";"edittext";"variable"
37;"69";"No";"There are some incidents that can happen that are our beyond our reach, but let's hope you will not be affected.";0;"There are some incidents that can happen that are our beyond our reach, but let's hope you will not be affected.";"CONCERNED";0;""
38;"69";"Yes";"There are some incidents that can happen that are our beyond our reach, but let's hope you will not be affected.";0;"There are some incidents that can happen that are our beyond our reach, but let's hope you will not be affected.";"WORRIED";0;""
39;"69";"No";"I hope it does not affect those people involved that much!";0;"I hope it does not affect those people involved that much!";"CONCERNED";0;""
40;"43,44,45";"I think my family is too busy for me.";"Aww, that is pretty tough to hear, I guess you could tell them about what you feel. Maybe you can figure out a solution with them.";0;"Awe, that is pretty tough to hear, I guess you could tell them about what you feel. Maybe you can figure out a solution with them.";"CONCERNED";0;""
41;"43,44,45";"I see my family a lot but we do not interact that much.";"Aww, that is pretty tough to hear, I guess you could tell them about what you feel. Maybe you can figure out a solution with them.";0;"Awe, that is pretty tough to hear, I guess you could tell them about what you feel. Maybe you can figure out a solution with them.";"WORRIED";0;""
42;"43,44,45";"I really miss my family.";"Aww, that is pretty tough to hear, I guess you could tell them about what you feel. Maybe you can figure out a solution with them.";0;"Awe, that is pretty tough to hear, I guess you could tell them about what you feel. Maybe you can figure out a solution with them.";"CONCERNED";0;""
43;"69";"I'll try and contact to them and talk to them about it.";"As long as you feel good about it I will support you with it. I hope it gets well!";0;"As long as you feel good about it I will support you with it. I hope it gets well!";"HAPPY";0;""
44;"69";"I'm still hesitant about it. I'll contact them next time.";"Alright, I understand. Just remember to talk to them, okay? It's important to tell them what you really feel.";0;"Alright, I understand. Just remember to talk to them, okay? It's important to tell them what you really feel.";"CONCERNED";0;""
45;"46";"I'm scared to talk about it with them.";"I understand why you're scared but you have to tell them the problem to find a solution and closure to it. I will support you whatever you choose.";0;"I understand why you're scared but you have to tell them the problem to find a solution and closure to it. I will support you whatever you choose.";"CONCERNED";0;""
46;"69";"Okay I will try but no promises.";"That's great. I'm happy you're going for it. I hope it goes well!";0;"That's great. I'm happy you're going for it. I hope it goes well!";"HAPPY";0;""
47;"43,44,45";"I miss my family";"Missing one's family is normal and I understand what you are going through, I guess you could tell them about it so that they will see you soon!";0;"Missing one's family is normal and I understand what you are going through, I guess you could tell them about it so that they will see you soon!";"CONCERNED";0;""
48;"50,51,52";"I want to talk to someone";"Who do you want to talk to?";0;"Who do you want to talk to?";"CONCERNED";0;""
49;"60,61";"I want to go see someone";"Who do you want to see?";0;"Who do you want to see?";"CONCERNED";0;""
50;"53,54";"My Family";"Do you miss your family?";0;"Do you miss your family?";"CONCERNED";0;""
51;"53,54";"My Friends";"Do you miss your friends?";0;"Do you miss your friends?";"CONCERNED";0;""
52;"69";"Anyone";"I am here you can talk to me! I hope I can entertain you enough!";0;"I am here you can talk to me! I hope I can entertain you enough!";"HAPPY";0;""
53;"57,58,59";"Yes";"Let us talk about it. What makes you miss them?";0;"Let us talk about it. What makes you miss them?";"CONCERNED";0;""
54;"55,56";"No";"Are you sure you do not miss them?";0;"Are you sure you do not miss them?";"CONCERNED";0;""
55;"69";"Yes";"That's completely fine! Just don't forget to talk to them later! They might be missing you!";0;"That's completely fine! Just don't forget to talk to them later! They might be missing you!";"CONCERNED";0;""
56;"110,111,112";"No";"Spending your time with them is always fun!  Would you like to call them now or set a reminder for a hangout?";0;"Spending your time with them is always fun!  Would you like to call them now or set a reminder for a hangout?";"CONCERNED";0;""
57;"110,111,112";"I like talking with them.";"It's always fun having someone to talk to. You should try contacting them soon. Would you like to call them now or set a reminder?";0;"It's always fun having someone to talk to. You should try contacting them soon. Would you like to call them now or set a reminder?";"HAPPY";0;""
58;"110,111,112";"I like hanging out with them";"Spending your time with them is always fun! You should try asking them if they want to hang out soon Would you like to call them now or set a reminder?";0;"Spending your time with them is always fun! You should try asking them if they want to hang out soon Would you like to call them now or set a reminder?";"HAPPY";0;""
59;"69";"They make me feel better when they're around";"Having someone around you that makes you feel better about yourself is great! If possible try to invite them or go visit them!";0;"Having someone around you that makes you feel better about yourself is great! If possible try to invite them or go visit them!";"HAPPY";0;""
60;"62,63";"A Family member, whom I want to catch up with";"That's great! I highly encourage you to contact them and plan this. Please tell me more about it.";0;"That's great! I highly encourage you to contact them and plan this. Please tell me more about it.";"HAPPY";0;""
61;"62,63";"A good friend who I want to see again";"That's great! I highly encourage you to contact them and plan this. Please tell me more about it.";0;"That's great! I highly encourage you to contact them and plan this. Please tell me more about it.";"HAPPY";0;""
62;"110,111,112";"It's been a while since i saw them.";"If it has been a while I suggest you contact them to let them know that you want to meet them! Would you like to call them now or set a reminder?";0;"If it has been a while I suggest you contact them to let them know that you want to meet them! Would you like to call them now or set a reminder?";"CONCERNED";0;""
63;"110,111,112";"I just want to spend time with them";"Try inviting them to come over or visit them to show how you feel about them! Would you like to call them now or set a reminder?";0;"Try inviting them to come over or visit them to show how you feel about them! Would you like to call them now or set a reminder?";"HAPPY";0;""
64;"66,67";"Yes";"Okay. Can you tell me what made you angry?";0;"Okay. Can you tell me what made you angry?";"WORRIED";0;""
65;"69";"No";"I understand, but try to calm down and take it easy.";0;"I understand, but try to calm down and take it easy.";"CONCERNED";0;""
66;"68";"I feel frustrated about something";"If it is okay can you tell me what you are frustrated at?";0;"If it is okay can you tell me what you are frustrated at?";"CONCERNED";1;"<myKnees>"
67;"69";"Someone sparked my anger";"I understand that, but I hope this does not affect you that much. Is it okay to feel this way, but I hope you try to forgive them and forget about this.";0;"I understand that, but I hope this does not affect you that much. Is it okay to feel this way, but I hope you try to forgive them and forget about this.";"CONCERNED";0;""
68;"69";"Done";"Is it really worth getting angry, mad or frustrated about that? Just take it easy for now and rest.";0;"Is it really worth getting angry, mad or frustrated about that? Just take it easy for now and rest.";"CONCERNED";0;""
69;"70,71,72";"Okay";"What are you looking forward to today?";0;"What are you looking forward to today?";"HAPPY";0;""
70;"601";"I have things to do today so I really hope it goes well!";"I hope it goes well too! What do you plan on doing today?";0;"I hope it goes well too! What do you plan on doing today?";"HAPPY";1;"<plan>"
71;"73,74";"My family is visiting me soon! So I'm really excited!";"Wow! That's really exciting! Has it been a while since they last visited?";0;"Wow! That's really exciting! Has it been a while since they last visited?";"HAPPY";0;""
72;"75";"I'm not expecting anything for today but I hope it goes well!";"That's a great attitude to have! I hope your day does go well!";0;"That's a great attitude to have! I hope your day does go well!";"HAPPY";0;""
73;"75";"Yes";"Wow so it has been a while, it's great that they're coming over now! Make sure you have a good time and make the most out of their stay!";0;"Wow so it has been a while, it's great that they're coming over now! Make sure you have a good time and make the most out of their stay!";"HAPPY";0;""
74;"75";"No";"It's great that they're coming to visit you soon! Make sure to make the most out of it.";0;"It's great that they're coming to visit you soon! Make sure to make the most out of it.";"HAPPY";0;""
75;"76,77,89";"Okay";"You said that you like <activity> right?";0;"You said that you like <activity> right?";"HAPPY";0;"<activity>"
76;"78,79,80";"Yes";"That's great! When was the last time you did it?";0;"That's great! When was the last time you did it?";"HAPPY";0;""
77;"86,87,88";"No";"Ohhh okay, why not though?";0;"Ohhh okay, why not though?";"WORRIED";0;""
78;"81,82,83";"I have not in a long time";"Why is that so? Maybe you should try to engage in it again?";0;"Why is that so? Maybe you should try to engage in it again?";"HAPPY";0;""
79;"83,84";"Sometime this year";"That is good! You should try to engage in <activity> again soon! Do you still have any plans of <activity> again?";0;"That is good! You should try to engage in <activity> again soon! Do you still have any plans of <activity> again?";"HAPPY";0;"<activity>"
80;"83,84";"Sometime recently";"That is great! It's nice to hear that you've engaged in <activity> recently. Do you still have any plans of <activity> again?";0;"That is great! It's nice to hear that you've engaged in <activity> recently. Do you still have any plans of <activity> again?";"HAPPY";0;"<activity>"
81;"84,85";"I do not feel like doing that anymore.";"Ohh okay, but do you still have any plans of doing it again?";0;"Ohh okay, but do you still have any plans of doing it again?";"WORRIED";0;""
82;"84,85";"I'm not capable of that anymore";"Ohh okay, but do you still have any plans of doing it again?";0;"Ohh okay, but do you still have any plans of doing it again?";"WORRIED";0;""
83;"84,85";"I'm not that interested anymore";"Ohh okay, but do you still have any plans of doing it again?";0;"Ohh okay, but do you still have any plans of doing it again?";"WORRIED";0;""
84;"113,129";"Yes";"That sounds really good to me! I hope you have fun and enjoy <activity> again!";0;"That sounds really good to me! I hope you have fun and enjoy <activity> again!";"HAPPY";0;"<activity>"
85;"113,129";"No";"Well I hope you find an activity that you like doing again and I hope you enjoy it!";0;"Well I hope you find an activity that you like doing again and I hope you enjoy it!";"HAPPY";0;""
86;"113,129";"Not that interested in it";"Ohh okay I understand. I guess you can only have a handful of interests.";0;"Ohh okay I understand. I guess you can only have a handful of interests.";"WORRIED";0;""
87;"113,129";"I don't have time for it";"I get it. Just make sure to try it when you have the time.";0;"I get it. Just make sure to try it when you have the time.";"WORRIED";0;""
88;"113,129";"I don't feel like it";"Okay. I guess you just don't like the activity.";0;"Okay. I guess you just don't like the activity.";"WORRIED";0;""
89;"90,91";"I have never tried it yet";"Have you ever wanted to try it?";0;"Have you ever wanted to try it?";"HAPPY";0;""
90;"92,93,94";"Yes";"What interests you about <activity>?";0;"What interests you about <activity>?";"HAPPY";0;"<activity>"
91;"113,129";"No";"That's okay. It's normal to only like certain things. Come talk to me if you need me!";0;"That's okay. It's normal to only like certain things. Come talk to me if you need me!";"HAPPY";0;""
92;"95,96,97";"I want to learn it as a skill";"Why have you not tried it yet?";0;"Why have you not tried it yet?";"HAPPY";0;""
93;"95,96,97";"I think it will be fun";"Why have you not tried it yet?";0;"Why have you not tried it yet?";"HAPPY";0;""
94;"95,96,97";"it will be helpful for my health";"Why have you not tried it yet?";0;"Why have you not tried it yet?";"HAPPY";0;""
95;"122,129";"I have no time to try it.";"It's normal not to have time for such activities. We can be so busy at times. If you have free time,maybe you can try it. Who knows, you might like it!";0;"It's normal not to have time for such activities. We can be so busy at times. If you have free time,maybe you can try it. Who knows, you might like it!";"WORRIED";0;""
96;"97,98";"I'm too scared to do it";"Why are you scared to do it?";0;"Why are you scared to do it?";"WORRIED";0;""
97;"122,129";"I'm too old to try it";"It's never too late to try it. If you really want to do it, then maybe you could at least try It once.";0;"It's never too late to try it. If you really want to do it, then maybe you could at least try It once.";"WORRIED";0;""
98;"122,129";"It's my first time doing it so it makes me nervous";"Being nervous is normal in doing an activity for the first time. But if you try it and then you liked it. I guess you now have a new hobby!";0;"Being nervous is normal in doing an activity for the first time. But if you try it and then you liked it. I guess you now have a new hobby!";"WORRIED";0;""
99;"122,129";"I'm afraid that I might be judged by other people";"Don't mind what other people think, and think about what makes you happy. If you want to do it, then you should. ";0;"Don't mind what other people think, and think about what makes you happy. If you want to do it, then you should. ";"WORRIED";0;""
100;"101,102";"Next";"Did you enjoy the call, <Name>?";0;"Did you enjoy the call, <Name>?";"HAPPY";0;"<Name>"
101;"69";"Yes, I did!";"I'm glad you enjoyed it, <Name>. Be sure to call them again.";0;"I'm glad you enjoyed it, <Name>. Be sure to call them again.";"HAPPY";0;"<Name>"
102;"103,104";"No, it was kind of unpleasant.";"Really? I'm sorry to hear that, <Name>. Would you like to talk about it?";0;"Really? I'm sorry to hear that, <Name>. Would you like to talk about it?";"WORRIED";0;"<Name>"
103;"105,106,107";"Yes, I would like to.";"What happened during the call?";0;"What happened during the call?";"WORRIED";0;""
104;"69";"No, let's talk about it some other time.";"Okay, I understand. Let's continue.";0;"Okay, I understand. Let's continue.";"WORRIED";0;""
105;"108";"They didn't answer";"Oh, <Name> Don't think too much about it. They could've been busy or were not with their phone.";0;"Oh, <Name> Don't think too much about it. They could've been busy or were not with their phone.";"WORRIED";0;"<Name>"
106;"108";"They answered but they were in a hurry to hang up";"We probably chose a wrong time to call them, they were probably busy and couldn't talk that much.";0;"We probably chose a wrong time to call them, they were probably busy and couldn't talk that much.";"WORRIED";0;""
107;"108";"They told me they didn't want to talk right now";"That's harsh. Maybe they were occupied with something, let's let it slide for now.";0;"That's harsh. Maybe they were occupied with something, let's let it slide for now.";"WORRIED";0;""
108;"69";"Okay Cate";"Try again next time okay?";0;"Try again next time okay?";"WORRIED";0;""
109;"110,111,112";"Okay";"Would you like to call them now or at least set a reminder?";0;"Would you like to call them now or at least set a reminder?";"HAPPY";0;""
110;"100";"Make a Call";"Choose a number to call.";0;"Choose a number to call.";"HAPPY";0;""
111;"128";"Set Reminder";"Let's set the reminder.";0;"Let's set the reminder.";"HAPPY";0;""
112;"69";"Maybe Later, Cate.";"Okay. Just remember to talk to them later.";0;"Okay. Just remember to talk to them later.";"HAPPY";0;""
113;"114";"How about you? How are you feeling today?";"I'm feeling great! Thanks for asking <Name>!";0;"I'm feeling great! Thanks for asking <Name>!";"HAPPY";0;"<Name>"
114;"115";"Can you tell me what made you feel great?";"Of course I can! I'm feeling great because I get to talk to you today!";0;"I'm feeling great because I get to talk to you today!";"HAPPY";0;""
115;"116";"Oh that's nice to hear, Cate.";"Thank you. I feel good talking to people like you";0;"Thank you. I feel good talking to people like you";"HAPPY";0;""
116;"117";"Thank you Cate.";"Well, I'm also feeling great because I had a really good nap";0;"Well, I'm also feeling great because I had a really good nap";"HAPPY";0;""
117;"118";"Nice! How many hours were you asleep?";"Around 8 hours probably. You should try it. It helps me feel energized when I wake up.";0;"Around 8 hours probably. You should try it. It helps me feel energized when I wake up.";"HAPPY";0;""
118;"119";"Okay.";"I also tried this new diet, which makes me feel healthier";0;"I also tried this new diet, which makes me feel healthier";"HAPPY";0;""
119;"120";"What do you eat in the diet?";"Fish. And a lot of fruits like apples and oranges.";0;"Fish. And a lot of fruits like apples and oranges.";"HAPPY";0;""
120;"121";"Sure, Cate. I'll try it";"Yes! So that you feel healthier as well.";0;"Yes! So that you feel healthier as well.";"HAPPY";0;""
121;"129";"Thank you Cate.";"No problem.";0;"No problem.";"HAPPY";0;""
122;"123";"How about you? How are you feeling today?";"I'm alright. Thanks for asking me, <Name>.";0;"I'm alright. Thanks for asking me, <Name>.";"HAPPY";0;"<Name>"
123;"124";"Why is that?";"I'm feeling happy, but I feel tired at the same time.";0;"I'm feeling happy, but I feel tired at the same time.";"HAPPY";0;""
124;"125";"What made you tired?";"I did a lot of activities today.";0;"I did a lot of activities today.";"HAPPY";0;""
125;"126";"What kind of activities?";"I played basketball with my virtual friends. It was fun playing, but it was also tiring.";0;"I played basketball with my virtual friends. It was fun playing, but it was also tiring.";"HAPPY";0;""
126;"127";"That's good to hear Cate.";"Thanks! You should try it too with your friends. It will be a lot of fun.";0;"Thanks! You should try it too with your friends. It will be a lot of fun.";"HAPPY";0;""
127;"129";"Okay Cate. I will try that. Thank you";"You're welcome.";0;"You're welcome.";"HAPPY";0;""
128;"69";"Okay Cate";"I have set the reminder.";0;"I have set the reminder.";"HAPPY";0;""
129;"130,131,299";"Okay";"Would you like to do something else, <Name>?";0;"Would you like to do something else, <Name>?";"HAPPY";0;"<Name>"
130;"132,133,134";"Yes";"Okay, what would you like to do?";0;"Okay, what would you like to do?";"HAPPY";0;""
131;"0";"No";"Alright, I'll talk to you again soon!";0;"Alright, I'll talk to you again soon!";"HAPPY";0;""
132;"398,399";"Let's play a game";"Alright, Would you like to play a Trivia Game or a Picture Game?";0;"Alright, Would you like to play a Trivia Game or a Picture Game?";"HAPPY";0;""
133;"179,459,592";"Let's talk about something, Cate";"Okay. What do you want to talk about?";0;"Okay. What do you want to talk about?";"HAPPY";0;""
134;"218,219";"Tell me a Joke";"Are you sure you want to hear some jokes of mine? They're pretty funny so be careful!";0;"Are you sure you want to hear some jokes of mine? They're pretty funny so be careful!";"HAPPY";0;""
135;"398,399";"Yes, let's play a game!";"Alright. Which game do you want to play?";0;"Alright. Which game do you want to play?";"HAPPY";0;""
136;"129";"No";"Ohh okay we can play it next time!";0;"Ohh okay we can play it next time!";"HAPPY";0;""
137;"138,139,140";"Sure";"Who waved the flag during the Philippine independence proclamation in 1898?";0;"Who waved the flag during the Philippine independence proclamation in 1898? Was it Ambrosio Rianzares Bautista, Emilio Aguinaldo, or Julian Felipe?";"HAPPY";0;""
138;"141";"Ambrosio Rianzares Bautista";"Correct!! It was Bautista who ended up waving it in front of a jubilant crowd.";0;"Correct!! It was Bautista who ended up waving it in front of a jubilant crowd.";"HAPPY";0;""
139;"141";"Emilio Aguinaldo";"Sadly you are wrong, It was Bautista who ended up waving it in front of a jubilant crowd.";0;"Sadly you are wrong, It was Bautista who ended up waving it in front of a jubilant crowd.";"HAPPY";0;""
140;"141";"Julian Felipe";"Sadly you are wrong, It was Bautista who ended up waving it in front of a jubilant crowd.";0;"Sadly you are wrong, It was Bautista who ended up waving it in front of a jubilant crowd.";"HAPPY";0;""
141;"142,143,144";"Next question please, Cate";"Who coined the name of the longest-running noontime show Eat Bulaga!";0;"Who coined the name of the longest-running noontime show Eat Boo la gah!? Is it Vic Sotto, Joey De Leon, or Tito Sotto?";"HAPPY";0;""
142;"145";"Vic Sotto";"Nope, It was Joey!!";0;"Nope, It was Joey!!";"HAPPY";0;""
143;"145";"Joey De Leon";"You are correct!!!";0;"You are correct!!!";"HAPPY";0;""
144;"145";"Tito Sotto";"Nope, It was Joey!!";0;"Nope, It was Joey!!";"HAPPY";0;""
145;"146,147";"Okay, next question, Cate!";"Is Manny Pacquiao's nickname Pac-Man was based on a Japanese arcade game of the same name?";0;"Is Manny Pahkyao's nickname Pac-Man was based on a Japanese arcade game of the same name? True or False?";"HAPPY";0;""
146;"148";"TRUE";"Nice try, but it isn't, it is just a coincidence. Pac from Pacquiao and then Man from Manny.";0;"Nice try, but it isn't, it is just a coincidence. Pac from Pahkyao and then Man from Manny.";"HAPPY";0;""
147;"148";"FALSE";"That is correct!";0;"That is correct!";"HAPPY";0;""
148;"149,150";"Give me the next question, Cate!";"Was President Elpidio Quirino was the first Filipino to ever appear on television?";0;"Was President Elpidio Quirino was the first Filipino to ever appear on television? True or False?";"HAPPY";0;""
149;"151,152";"TRUE";"Did you just guess? Just Kidding, but you are correct!!";0;"Did you just guess? Just Kidding, but you are correct!!";"HAPPY";0;""
150;"153";"FALSE";"President Quirino was indeed the first ever Filipino to appear on TV.";0;"President Quirino was indeed the first ever Filipino to appear on TV.";"HAPPY";0;""
151;"153";"Yes I just guessed it";"Good Guess then!";0;"Good Guess then!";"HAPPY";0;""
152;"153";"Nope, I honestly knew that.";"That is cool! Must have been an honor to be the first ever Filipino on TV";0;"That is cool! Must have been an honor to be the first ever Filipino on TV";"HAPPY";0;""
153;"154,155,156";"Okay cate! Next question!";"Which Filipino president topped the 1939 Bar Examinations (with near-perfect score)?";0;"Which Filipino president topped the 1939 Bar Examinations (with near-perfect score)? Was it Diosdado Macapagal, Ferdinand Marcos, or Elipidio Quirino?";"HAPPY";0;""
154;"157";"Diosdado Macapagal";"It was Marcos! How did he get a near perfect score, that is really hard!";0;"It was Marcos! How did he get a near perfect score, that is really hard!";"HAPPY";0;""
155;"157";"Ferdinand Marcos";"Correct! How did he get a near perfect score, that is really hard!";0;"Correct! How did he get a near perfect score, that is really hard!";"HAPPY";0;""
156;"157";"Elpidio Quirino";"It was Marcos! How did he get a near perfect score, that is really hard!";0;"It was Marcos! How did he get a near perfect score, that is really hard!";"HAPPY";0;""
157;"158,159,160";"Next question please, Cate";"Gloria Diaz won the Miss Universe contest in what year?";0;"Gloria Diaz won the Miss Universe contest in what year? 1969, 1970, or 1971?";"HAPPY";0;""
158;"161";"1969";"You are correct <name>!";0;"You are correct <name>!";"HAPPY";0;"<Name>"
159;"161";"1970";"Nope, it was 1969.";0;"Nope, it was 1969.";"HAPPY";0;""
160;"161";"1971";"Nope, it was 1969.";0;"Nope, it was 1969.";"HAPPY";0;""
161;"162,163,164";"Okay, next question, Cate!";"What is the residence of the President of the Philippines popularly called?";0;"What is the residence of the President of the Philippines popularly called? Is it called the Presidential Palace, White House, or the Malah can yang?";"HAPPY";0;""
162;"166";"Presidential Palace";"Not correct, it is Malacanang palace!";0;"Not correct, it is Malah can yang palace!";"HAPPY";0;""
163;"166";"White House";"Not correct, it is Malacanang palace! White House Is in America.";0;"Not correct, it is Malah can yang! White House Is in America.";"HAPPY";0;""
164;"165";"Malacanang Palace";"Yes! You are Correct!";0;"Yes! You are Correct!";"HAPPY";0;""
165;"167,168";"That was easy, next question!";"The eruption Of Mt. Pinatubo changed the Earth's climate.";0;"The eruption Of Mt. Pinatubo changed the Earth's climate. True or False?";"HAPPY";0;""
166;"167,168";"Next question please, Cate";"The eruption Of Mt. Pinatubo changed the Earth's climate.";0;"The eruption Of Mt. Pinatubo changed the Earth's climate. True or False?";"HAPPY";0;""
167;"169";"TRUE";"You are correct <name>! It was the second largest volcanic eruption in the 20th century";0;"You are correct <name>! It was the second largest volcanic eruption in the 20th century";"HAPPY";0;"<Name>"
168;"169";"FALSE";"Sadly, it did. It was the second largest volcanic eruption in the 20th century";0;"Sadly, it did. It was the second largest volcanic eruption in the 20th century";"HAPPY";0;""
169;"170,171,172";"Okay cate! Next question!";"Together with Gen. Fidel Ramos, this person helped oust Marcos in the 1986 revolution. Who is he?";0;"Together with General Fidel Ramos, this person helped oust Marcos in the 1986 revolution. Who is he? Was it Gregorio Honasan, Corazon Aquino, or Juan Ponseh Enreelei?";"HAPPY";0;""
170;"173";"Gregorio Honasan";"Nope, it was Juan Ponce Enrile";0;"Nope, it was Juan Ponseh enreelei";"HAPPY";0;""
171;"173";"Corazon Aquino";"Nope, it was Juan Ponce Enrile";0;"Nope, it was Juan Ponseh enreelei";"HAPPY";0;""
172;"173";"Juan Ponce Enrile";"Yes! You are Correct!";0;"Yes! You are Correct!";"HAPPY";0;""
